日本語,英語,キー
馬鎧が装着される,Horse armor equips,subtitles.entity.horse.armor
ウマが呼吸をする,Horse breathes,subtitles.entity.horse.breathe
ウマが死ぬ,Horse dies,subtitles.entity.horse.death
ウマが食べる,Horse eats,subtitles.entity.horse.eat
ウマが走る,Horse gallops,subtitles.entity.horse.gallop
ウマがダメージを受ける,Horse hurts,subtitles.entity.horse.hurt
ウマが跳ぶ,Horse jumps,subtitles.entity.horse.jump
鞍が装着される,Saddle equips,subtitles.entity.horse.saddle
ハスクがうめく,Husk groans,subtitles.entity.husk.ambient
ハスクがゾンビに変わる,Husk converts to Zombie,subtitles.entity.husk.converted_to_zombie
ハスクが死ぬ,Husk dies,subtitles.entity.husk.death
ハスクがダメージを受ける,Husk hurts,subtitles.entity.husk.hurt
イリュージョナーがつぶやく,Illusioner murmurs,subtitles.entity.illusioner.ambient
イリュージョナーが呪文を唱える,Illusioner casts spell,subtitles.entity.illusioner.cast_spell
イリュージョナーが死ぬ,Illusioner dies,subtitles.entity.illusioner.death
イリュージョナーがダメージを受ける,Illusioner hurts,subtitles.entity.illusioner.hurt
イリュージョナーが分身する,Illusioner displaces,subtitles.entity.illusioner.mirror_move
イリュージョナーが盲目魔法の準備をする,Illusioner prepares blindness,subtitles.entity.illusioner.prepare_blindness
イリュージョナーが分身魔法の準備をする,Illusioner prepares mirror image,subtitles.entity.illusioner.prepare_mirror
アイアンゴーレムが攻撃をする,Iron Golem attacks,subtitles.entity.iron_golem.attack
アイアンゴーレムが破壊される,Iron Golem breaks,subtitles.entity.iron_golem.damage
アイアンゴーレムが死ぬ,Iron Golem dies,subtitles.entity.iron_golem.death
アイアンゴーレムがダメージを受ける,Iron Golem hurts,subtitles.entity.iron_golem.hurt
アイアンゴーレムが修復される,Iron Golem repaired,subtitles.entity.iron_golem.repair
アイテムが破壊される,Item breaks,subtitles.entity.item.break
アイテムが拾われる,Item plops,subtitles.entity.item.pickup
額縁にアイテムが入れられる,Item Frame fills,subtitles.entity.item_frame.add_item
額縁が破壊される,Item Frame broken,subtitles.entity.item_frame.break
額縁が設置される,Item Frame placed,subtitles.entity.item_frame.place
額縁からアイテムが取られる,Item Frame empties,subtitles.entity.item_frame.remove_item
額縁の中のアイテムが回される,Item Frame clicks,subtitles.entity.item_frame.rotate_item
リードが解かれる,Leash Knot broken,subtitles.entity.leash_knot.break
リードが結ばれる,Leash Knot tied,subtitles.entity.leash_knot.place
雷が落ちる,Lightning strikes,subtitles.entity.lightning_bolt.impact
雷が鳴る,Thunder roars,subtitles.entity.lightning_bolt.thunder
ラマが鳴く,Llama bleats,subtitles.entity.llama.ambient
ラマが怒って鳴く,Llama bleats angrily,subtitles.entity.llama.angry
ラマにチェストが装着される,Llama Chest equips,subtitles.entity.llama.chest
ラマが死ぬ,Llama dies,subtitles.entity.llama.death
ラマが食べる,Llama eats,subtitles.entity.llama.eat
ラマがダメージを受ける,Llama hurts,subtitles.entity.llama.hurt
ラマが唾を吐く,Llama spits,subtitles.entity.llama.spit
ラマが歩く,Llama steps,subtitles.entity.llama.step
ラマが装飾される,Llama is decorated,subtitles.entity.llama.swag
マグマキューブが死ぬ,Magma Cube dies,subtitles.entity.magma_cube.death
マグマキューブがダメージを受ける,Magma Cube hurts,subtitles.entity.magma_cube.hurt
マグマキューブが跳ねる,Magma Cube squishes,subtitles.entity.magma_cube.squish
トロッコが走る,Minecart rolls,subtitles.entity.minecart.riding
ムーシュルームが変化する,Mooshroom transforms,subtitles.entity.mooshroom.convert
ムーシュルームが食べる,Mooshroom eats,subtitles.entity.mooshroom.eat
ムーシュルームが搾乳される,Mooshroom gets milked,subtitles.entity.mooshroom.milk
ムーシュルームが怪しげに搾乳される,Mooshroom gets milked suspiciously,subtitles.entity.mooshroom.suspicious_milk
ラバが鳴く,Mule hee-haws,subtitles.entity.mule.ambient
ラバがいななく,Mule neighs,subtitles.entity.mule.angry
ラバにチェストが装着される,Mule Chest equips,subtitles.entity.mule.chest
ラバが死ぬ,Mule dies,subtitles.entity.mule.death
ラバが食べる,Mule eats,subtitles.entity.mule.eat
ラバがダメージを受ける,Mule hurts,subtitles.entity.mule.hurt
ラバが跳ぶ,Mule jumps,subtitles.entity.mule.jump
絵画が破壊される,Painting broken,subtitles.entity.painting.break
絵画が置かれる,Painting placed,subtitles.entity.painting.place
パンダが怒る,Panda huffs,subtitles.entity.panda.aggressive_ambient
パンダが息切れする,Panda pants,subtitles.entity.panda.ambient
パンダが噛みつく,Panda bites,subtitles.entity.panda.bite
パンダが鳴く,Panda bleats,subtitles.entity.panda.cant_breed
パンダが死ぬ,Panda dies,subtitles.entity.panda.death
パンダが食べる,Panda eats,subtitles.entity.panda.eat
パンダがダメージを受ける,Panda hurts,subtitles.entity.panda.hurt
パンダの鼻がムズムズする,Panda's nose tickles,subtitles.entity.panda.pre_sneeze
パンダがくしゃみをする,Panda sneezes,subtitles.entity.panda.sneeze
パンダが歩く,Panda steps,subtitles.entity.panda.step
パンダがすすり泣く,Panda whimpers,subtitles.entity.panda.worried_ambient
オウムが鳴く,Parrot talks,subtitles.entity.parrot.ambient
オウムが死ぬ,Parrot dies,subtitles.entity.parrot.death
オウムが食べる,Parrot eats,subtitles.entity.parrot.eats
オウムが羽ばたく,Parrot flutters,subtitles.entity.parrot.fly
オウムがダメージを受ける,Parrot hurts,subtitles.entity.parrot.hurts
オウムがブレイズの呼吸する音を真似る,Parrot breathes,subtitles.entity.parrot.imitate.blaze
オウムがボグドの骨を鳴らす音を真似る,Parrot rattles,subtitles.entity.parrot.imitate.bogged
オウムがブリーズの風の音を真似る,Parrot whirs,subtitles.entity.parrot.imitate.breeze
オウムがクリーパーの着火音を真似る,Parrot hisses,subtitles.entity.parrot.imitate.creeper
オウムがドラウンドの音を真似る,Parrot gurgles,subtitles.entity.parrot.imitate.drowned
オウムがガーディアンのささやき声をまねる,Parrot moans,subtitles.entity.parrot.imitate.elder_guardian
オウムがドラゴンの咆哮を真似る,Parrot roars,subtitles.entity.parrot.imitate.ender_dragon
オウムがエンダーマイトの鳴き声を真似る,Parrot scuttles,subtitles.entity.parrot.imitate.endermite
オウムがエヴォーカーのつぶやく声を真似る,Parrot murmurs,subtitles.entity.parrot.imitate.evoker
オウムがガストの泣く声を真似る,Parrot cries,subtitles.entity.parrot.imitate.ghast
オウムがガーディアンのささやき声を真似る,Parrot moans,subtitles.entity.parrot.imitate.guardian
オウムがホグリンの唸り声を真似る,Parrot growls,subtitles.entity.parrot.imitate.hoglin
オウムがハスクのうめき声を真似る,Parrot groans,subtitles.entity.parrot.imitate.husk
オウムがイリュージョナーのつぶやく声を真似る,Parrot murmurs,subtitles.entity.parrot.imitate.illusioner
オウムがマグマキューブの跳ねる音を真似る,Parrot squishes,subtitles.entity.parrot.imitate.magma_cube
オウムがファントムの鳴き声を真似る,Parrot screeches,subtitles.entity.parrot.imitate.phantom
オウムがピグリンの鼻を鳴らす音を真似る,Parrot snorts,subtitles.entity.parrot.imitate.piglin
オウムがピグリンブルートの鼻を鳴らす音を真似る,Parrot snorts,subtitles.entity.parrot.imitate.piglin_brute
オウムがピリジャーのつぶやく声を真似る,Parrot murmurs,subtitles.entity.parrot.imitate.pillager
オウムがゾンビピッグマンのうめき声を真似る,Parrot grunts,subtitles.entity.parrot.imitate.ravager
オウムがシュルカーの鳴き声を真似る,Parrot lurks,subtitles.entity.parrot.imitate.shulker
オウムがシルバーフィッシュの鳴く声を真似る,Parrot hisses,subtitles.entity.parrot.imitate.silverfish
オウムがスケルトンの骨を鳴らす音を真似る,Parrot rattles,subtitles.entity.parrot.imitate.skeleton
オウムがスライムの跳ねる音を真似る,Parrot squishes,subtitles.entity.parrot.imitate.slime
オウムがクモの鳴き声を真似る,Parrot hisses,subtitles.entity.parrot.imitate.spider
オウムがストレイの骨を鳴らす音を真似る,Parrot rattles,subtitles.entity.parrot.imitate.stray
オウムがヴェックスの焦らす声を真似る,Parrot vexes,subtitles.entity.parrot.imitate.vex
オウムがヴィンディケーターのつぶやく声を真似る,Parrot mutters,subtitles.entity.parrot.imitate.vindicator
オウムがウォーデンの鼻息を真似る,Parrot whines,subtitles.entity.parrot.imitate.warden
オウムがウィッチの笑う声を真似る,Parrot giggles,subtitles.entity.parrot.imitate.witch
オウムがウィザーの怒る声を真似る,Parrot angers,subtitles.entity.parrot.imitate.wither
オウムがウィザースケルトンの骨を鳴らす音を真似る,Parrot rattles,subtitles.entity.parrot.imitate.wither_skeleton
オウムがゾグリンの唸り声を真似る,Parrot growls,subtitles.entity.parrot.imitate.zoglin
オウムがゾンビのうめき声を真似る,Parrot groans,subtitles.entity.parrot.imitate.zombie
オウムが村人ゾンビのうめき声を真似る,Parrot groans,subtitles.entity.parrot.imitate.zombie_villager
ファントムが鳴く,Phantom screeches,subtitles.entity.phantom.ambient
ファントムが噛みつく,Phantom bites,subtitles.entity.phantom.bite
ファントムが死ぬ,Phantom dies,subtitles.entity.phantom.death
ファントムが羽ばたく,Phantom flaps,subtitles.entity.phantom.flap
ファントムがダメージを受ける,Phantom hurts,subtitles.entity.phantom.hurt
ファントムが急降下する,Phantom swoops,subtitles.entity.phantom.swoop
ブタが鳴く,Pig oinks,subtitles.entity.pig.ambient
ブタが死ぬ,Pig dies,subtitles.entity.pig.death
ブタがダメージを受ける,Pig hurts,subtitles.entity.pig.hurt
鞍が装着される,Saddle equips,subtitles.entity.pig.saddle
ピグリンがアイテムに見とれる,Piglin admires item,subtitles.entity.piglin.admiring_item
ピグリンが鼻を鳴らす,Piglin snorts,subtitles.entity.piglin.ambient
ピグリンが怒って鼻を鳴らす,Piglin snorts angrily,subtitles.entity.piglin.angry
ピグリンが歓声を上げる,Piglin celebrates,subtitles.entity.piglin.celebrate
ピグリンがゾンビピグリンに変わる,Piglin converts to Zombified Piglin,subtitles.entity.piglin.converted_to_zombified
ピグリンが死ぬ,Piglin dies,subtitles.entity.piglin.death
ピグリンがダメージを受ける,Piglin hurts,subtitles.entity.piglin.hurt
ピグリンが妬ましそうに鼻を鳴らす,Piglin snorts enviously,subtitles.entity.piglin.jealous
ピグリンが後退する,Piglin retreats,subtitles.entity.piglin.retreat
ピグリンが歩く,Piglin steps,subtitles.entity.piglin.step
ピグリンブルートが鼻を鳴らす,Piglin Brute snorts,subtitles.entity.piglin_brute.ambient
ピグリンブルートが怒って鼻を鳴らす,Piglin Brute snorts angrily,subtitles.entity.piglin_brute.angry
ピグリンブルートがゾンビピグリンに変わる,Piglin Brute converts to Zombified Piglin,subtitles.entity.piglin_brute.converted_to_zombified
ピグリンブルートが死ぬ,Piglin Brute dies,subtitles.entity.piglin_brute.death
ピグリンブルートがダメージを受ける,Piglin Brute hurts,subtitles.entity.piglin_brute.hurt
ピグリンブルートが歩く,Piglin Brute steps,subtitles.entity.piglin_brute.step
ピリジャーがつぶやく,Pillager murmurs,subtitles.entity.pillager.ambient
ピリジャーが喜ぶ,Pillager cheers,subtitles.entity.pillager.celebrate
ピリジャーが死ぬ,Pillager dies,subtitles.entity.pillager.death
ピリジャーがダメージを受ける,Pillager hurts,subtitles.entity.pillager.hurt
クリティカル攻撃をくり出す,Critical attack,subtitles.entity.player.attack.crit
ノックバック攻撃をくり出す,Knockback attack,subtitles.entity.player.attack.knockback
強い攻撃をくり出す,Strong attack,subtitles.entity.player.attack.strong
なぎ払い攻撃をくり出す,Sweeping attack,subtitles.entity.player.attack.sweep
弱い攻撃をくり出す,Weak attack,subtitles.entity.player.attack.weak
ゲップをする,Burp,subtitles.entity.player.burp
プレイヤーが死ぬ,Player dies,subtitles.entity.player.death
プレイヤーが凍る,Player freezes,subtitles.entity.player.freeze_hurt
プレイヤーがダメージを受ける,Player hurts,subtitles.entity.player.hurt
プレイヤーが溺れる,Player drowning,subtitles.entity.player.hurt_drown
プレイヤーが燃える,Player burns,subtitles.entity.player.hurt_on_fire
プレイヤーのレベルが上がる,Player dings,subtitles.entity.player.levelup
プレイヤーがテレポートする,Player teleports,subtitles.entity.player.teleport
シロクマがうめく,Polar Bear groans,subtitles.entity.polar_bear.ambient
子どものシロクマが鳴く,Baby Polar Bear hums,subtitles.entity.polar_bear.ambient_baby
シロクマが死ぬ,Polar Bear dies,subtitles.entity.polar_bear.death
シロクマがダメージを受ける,Polar Bear hurts,subtitles.entity.polar_bear.hurt
シロクマが吠える,Polar Bear roars,subtitles.entity.polar_bear.warning
瓶が割れる,Bottle smashes,subtitles.entity.potion.splash
瓶が投げられる,Bottle thrown,subtitles.entity.potion.throw
フグが萎む,Pufferfish deflates,subtitles.entity.puffer_fish.blow_out
フグが膨らむ,Pufferfish inflates,subtitles.entity.puffer_fish.blow_up
フグが死ぬ,Pufferfish dies,subtitles.entity.puffer_fish.death
フグが跳ねる,Pufferfish flops,subtitles.entity.puffer_fish.flop
フグがダメージを受ける,Pufferfish hurts,subtitles.entity.puffer_fish.hurt
フグが毒を刺す,Pufferfish stings,subtitles.entity.puffer_fish.sting
ウサギが鳴く,Rabbit squeaks,subtitles.entity.rabbit.ambient
ウサギが攻撃をする,Rabbit attacks,subtitles.entity.rabbit.attack
ウサギが死ぬ,Rabbit dies,subtitles.entity.rabbit.death
ウサギがダメージを受ける,Rabbit hurts,subtitles.entity.rabbit.hurt
ウサギが跳ねる,Rabbit hops,subtitles.entity.rabbit.jump
ラヴェジャーがうめき声を上げる,Ravager grunts,subtitles.entity.ravager.ambient
ラヴェジャーが噛みつく,Ravager bites,subtitles.entity.ravager.attack
ラヴェジャーが喜ぶ,Ravager cheers,subtitles.entity.ravager.celebrate
ラヴェジャーが死ぬ,Ravager dies,subtitles.entity.ravager.death
ラヴェジャーがダメージを受ける,Ravager hurts,subtitles.entity.ravager.hurt
ラヴェジャーが唸る,Ravager roars,subtitles.entity.ravager.roar
ラヴェジャーが歩く,Ravager steps,subtitles.entity.ravager.step
ラヴェジャーが怯む,Ravager stunned,subtitles.entity.ravager.stunned
サケが死ぬ,Salmon dies,subtitles.entity.salmon.death
サケが跳ねる,Salmon flops,subtitles.entity.salmon.flop
サケがダメージを受ける,Salmon hurts,subtitles.entity.salmon.hurt
ヒツジが鳴く,Sheep baahs,subtitles.entity.sheep.ambient
ヒツジが死ぬ,Sheep dies,subtitles.entity.sheep.death
ヒツジがダメージを受ける,Sheep hurts,subtitles.entity.sheep.hurt
シュルカーが鳴く,Shulker lurks,subtitles.entity.shulker.ambient
シュルカーが殻を閉じる,Shulker closes,subtitles.entity.shulker.close
シュルカーが死ぬ,Shulker dies,subtitles.entity.shulker.death
シュルカーがダメージを受ける,Shulker hurts,subtitles.entity.shulker.hurt
シュルカーの殻が開く,Shulker opens,subtitles.entity.shulker.open
シュルカーが発射する,Shulker shoots,subtitles.entity.shulker.shoot
シュルカーがテレポートする,Shulker teleports,subtitles.entity.shulker.teleport
シュルカーの弾が爆発する,Shulker Bullet explodes,subtitles.entity.shulker_bullet.hit
シュルカーの弾が砕ける,Shulker Bullet breaks,subtitles.entity.shulker_bullet.hurt
シルバーフィッシュが鳴く,Silverfish hisses,subtitles.entity.silverfish.ambient
シルバーフィッシュが死ぬ,Silverfish dies,subtitles.entity.silverfish.death
シルバーフィッシュがダメージを受ける,Silverfish hurts,subtitles.entity.silverfish.hurt
スケルトンが骨を鳴らす,Skeleton rattles,subtitles.entity.skeleton.ambient
スケルトンがストレイに変わる,Skeleton converts to Stray,subtitles.entity.skeleton.converted_to_stray
スケルトンが死ぬ,Skeleton dies,subtitles.entity.skeleton.death
スケルトンがダメージを受ける,Skeleton hurts,subtitles.entity.skeleton.hurt
スケルトンが発射する,Skeleton shoots,subtitles.entity.skeleton.shoot
スケルトンホースが鳴く,Skeleton Horse cries,subtitles.entity.skeleton_horse.ambient
スケルトンホースが死ぬ,Skeleton Horse dies,subtitles.entity.skeleton_horse.death
スケルトンホースがダメージを受ける,Skeleton Horse hurts,subtitles.entity.skeleton_horse.hurt
スケルトンホースが泳ぐ,Skeleton Horse swims,subtitles.entity.skeleton_horse.swim
スライムが攻撃をする,Slime attacks,subtitles.entity.slime.attack
スライムが死ぬ,Slime dies,subtitles.entity.slime.death
スライムがダメージを受ける,Slime hurts,subtitles.entity.slime.hurt
スライムが跳ねる,Slime squishes,subtitles.entity.slime.squish
スニッファーが死ぬ,Sniffer dies,subtitles.entity.sniffer.death
スニッファーが地面を掘る,Sniffer digs,subtitles.entity.sniffer.digging
スニッファーが立ち上がる,Sniffer stands up,subtitles.entity.sniffer.digging_stop
スニッファーが種を落とす,Sniffer drops seed,subtitles.entity.sniffer.drop_seed
スニッファーが食べる,Sniffer eats,subtitles.entity.sniffer.eat
スニッファーの卵にひびが入る,Sniffer Egg cracks,subtitles.entity.sniffer.egg_crack
スニッファーの卵が孵化する,Sniffer Egg hatches,subtitles.entity.sniffer.egg_hatch
スニッファーが喜ぶ,Sniffer delights,subtitles.entity.sniffer.happy
スニッファーがダメージを受ける,Sniffer hurts,subtitles.entity.sniffer.hurt
スニッファーが唸る,Sniffer grunts,subtitles.entity.sniffer.idle
スニッファーが匂いを嗅ぐ,Sniffer scents,subtitles.entity.sniffer.scenting
スニッファーが探る,Sniffer searches,subtitles.entity.sniffer.searching
スニッファーが鼻を鳴らす,Sniffer sniffs,subtitles.entity.sniffer.sniffing
スニッファーが歩く,Sniffer steps,subtitles.entity.sniffer.step
スノウゴーレムが死ぬ,Snow Golem dies,subtitles.entity.snow_golem.death
スノウゴーレムがダメージを受ける,Snow Golem hurts,subtitles.entity.snow_golem.hurt
雪玉が投げられる,Snowball flies,subtitles.entity.snowball.throw
クモが鳴く,Spider hisses,subtitles.entity.spider.ambient
クモが死ぬ,Spider dies,subtitles.entity.spider.death
クモがダメージを受ける,Spider hurts,subtitles.entity.spider.hurt
イカが泳ぐ,Squid swims,subtitles.entity.squid.ambient
イカが死ぬ,Squid dies,subtitles.entity.squid.death
イカがダメージを受ける,Squid hurts,subtitles.entity.squid.hurt
イカがスミを吐く,Squid shoots ink,subtitles.entity.squid.squirt
ストレイが骨を鳴らす,Stray rattles,subtitles.entity.stray.ambient
ストレイが死ぬ,Stray dies,subtitles.entity.stray.death
ストレイがダメージを受ける,Stray hurts,subtitles.entity.stray.hurt
ストライダーが死ぬ,Strider dies,subtitles.entity.strider.death
ストライダーが食べる,Strider eats,subtitles.entity.strider.eat
ストライダーが震え声をあげる,Strider warbles,subtitles.entity.strider.happy
ストライダーがダメージを受ける,Strider hurts,subtitles.entity.strider.hurt
ストライダーが鳴く,Strider chirps,subtitles.entity.strider.idle
ストライダーが後退する,Strider retreats,subtitles.entity.strider.retreat
オタマジャクシが死ぬ,Tadpole dies,subtitles.entity.tadpole.death
オタマジャクシが跳ねる,Tadpole flops,subtitles.entity.tadpole.flop
オタマジャクシが成長する,Tadpole grows up,subtitles.entity.tadpole.grow_up
オタマジャクシがダメージを受ける,Tadpole hurts,subtitles.entity.tadpole.hurt
TNTが着火される,TNT fizzes,subtitles.entity.tnt.primed
熱帯魚が死ぬ,Tropical Fish dies,subtitles.entity.tropical_fish.death
熱帯魚が跳ねる,Tropical Fish flops,subtitles.entity.tropical_fish.flop
熱帯魚がダメージを受ける,Tropical Fish hurts,subtitles.entity.tropical_fish.hurt
カメが鳴く,Turtle chirps,subtitles.entity.turtle.ambient_land
カメが死ぬ,Turtle dies,subtitles.entity.turtle.death
子ガメが死ぬ,Baby Turtle dies,subtitles.entity.turtle.death_baby
カメの卵が割れる,Turtle Egg breaks,subtitles.entity.turtle.egg_break
カメの卵にひびが入る,Turtle Egg cracks,subtitles.entity.turtle.egg_crack
カメの卵が孵化する,Turtle Egg hatches,subtitles.entity.turtle.egg_hatch
カメがダメージを受ける,Turtle hurts,subtitles.entity.turtle.hurt
子ガメがダメージを受ける,Baby Turtle hurts,subtitles.entity.turtle.hurt_baby
カメが卵を産む,Turtle lays egg,subtitles.entity.turtle.lay_egg
カメが這う,Turtle shambles,subtitles.entity.turtle.shamble
子ガメが這う,Baby Turtle shambles,subtitles.entity.turtle.shamble_baby
カメが泳ぐ,Turtle swims,subtitles.entity.turtle.swim
ヴェックスが焦らす,Vex vexes,subtitles.entity.vex.ambient
ヴェックスが叫ぶ,Vex shrieks,subtitles.entity.vex.charge
ヴェックスが死ぬ,Vex dies,subtitles.entity.vex.death
ヴェックスがダメージを受ける,Vex hurts,subtitles.entity.vex.hurt
村人がつぶやく,Villager mumbles,subtitles.entity.villager.ambient
村人が喜ぶ,Villager cheers,subtitles.entity.villager.celebrate
村人が死ぬ,Villager dies,subtitles.entity.villager.death
村人がダメージを受ける,Villager hurts,subtitles.entity.villager.hurt
村人が取引を拒否する,Villager disagrees,subtitles.entity.villager.no
村人が取引をする,Villager trades,subtitles.entity.villager.trade
防具鍛冶が作業をする,Armorer works,subtitles.entity.villager.work_armorer
肉屋が作業をする,Butcher works,subtitles.entity.villager.work_butcher
製図家が作業をする,Cartographer works,subtitles.entity.villager.work_cartographer
聖職者が作業をする,Cleric works,subtitles.entity.villager.work_cleric
農民が作業をする,Farmer works,subtitles.entity.villager.work_farmer
釣り人が作業をする,Fisherman works,subtitles.entity.villager.work_fisherman
矢師が作業をする,Fletcher works,subtitles.entity.villager.work_fletcher
革職人が作業をする,Leatherworker works,subtitles.entity.villager.work_leatherworker
司書が作業をする,Librarian works,subtitles.entity.villager.work_librarian
石工が作業をする,Mason works,subtitles.entity.villager.work_mason
羊飼いが作業をする,Shepherd works,subtitles.entity.villager.work_shepherd
道具鍛冶が作業をする,Toolsmith works,subtitles.entity.villager.work_toolsmith
武器鍛冶が作業をする,Weaponsmith works,subtitles.entity.villager.work_weaponsmith
村人が取引を受諾する,Villager agrees,subtitles.entity.villager.yes
ヴィンディケーターがつぶやく,Vindicator mutters,subtitles.entity.vindicator.ambient
ヴィンディケーターが喜ぶ,Vindicator cheers,subtitles.entity.vindicator.celebrate
ヴィンディケーターが死ぬ,Vindicator dies,subtitles.entity.vindicator.death
ヴィンディケーターがダメージを受ける,Vindicator hurts,subtitles.entity.vindicator.hurt
行商人がつぶやく,Wandering Trader mumbles,subtitles.entity.wandering_trader.ambient
行商人が死ぬ,Wandering Trader dies,subtitles.entity.wandering_trader.death
行商人が姿を消す,Wandering Trader disappears,subtitles.entity.wandering_trader.disappeared
行商人がミルクを飲む,Wandering Trader drinks milk,subtitles.entity.wandering_trader.drink_milk
行商人がポーションを飲む,Wandering Trader drinks potion,subtitles.entity.wandering_trader.drink_potion
行商人がダメージを受ける,Wandering Trader hurts,subtitles.entity.wandering_trader.hurt
行商人が取引を拒否する,Wandering Trader disagrees,subtitles.entity.wandering_trader.no
行商人が現れる,Wandering Trader appears,subtitles.entity.wandering_trader.reappeared
行商人が取引をする,Wandering Trader trades,subtitles.entity.wandering_trader.trade
村人が取引を受諾する,Wandering Trader agrees,subtitles.entity.wandering_trader.yes
ウォーデンが怒って唸る,Warden groans angrily,subtitles.entity.warden.agitated
ウォーデンが鼻息を立てる,Warden whines,subtitles.entity.warden.ambient
ウォーデンが激怒する,Warden rages,subtitles.entity.warden.angry
ウォーデンが打撃を与える,Warden lands hit,subtitles.entity.warden.attack_impact
ウォーデンが死ぬ,Warden dies,subtitles.entity.warden.death
ウォーデンが地面を掘る,Warden digs,subtitles.entity.warden.dig
ウォーデンが出現する,Warden emerges,subtitles.entity.warden.emerge
ウォーデンの心臓が鼓動する,Warden's heart beats,subtitles.entity.warden.heartbeat
ウォーデンがダメージを受ける,Warden hurts,subtitles.entity.warden.hurt
ウォーデンが気付く,Warden takes notice,subtitles.entity.warden.listening
ウォーデンが怒って気付く,Warden takes notice angrily,subtitles.entity.warden.listening_angry
ウォーデンが近づく,Warden approaches,subtitles.entity.warden.nearby_close
ウォーデンが前進する,Warden advances,subtitles.entity.warden.nearby_closer
ウォーデンが近くに迫る,Warden draws close,subtitles.entity.warden.nearby_closest
ウォーデンが咆哮を上げる,Warden roars,subtitles.entity.warden.roar
ウォーデンが嗅ぐ,Warden sniffs,subtitles.entity.warden.sniff
ウォーデンが衝撃波を放つ,Warden booms,subtitles.entity.warden.sonic_boom
ウォーデンが攻撃を溜める,Warden charges,subtitles.entity.warden.sonic_charge
ウォーデンが歩く,Warden steps,subtitles.entity.warden.step
ウォーデンが触角を打ち鳴らす,Warden's tendrils click,subtitles.entity.warden.tendril_clicks
ウィンドチャージが投げられる,Wind Charge flies,subtitles.entity.wind_charge.throw
ウィンドチャージが炸裂する,Wind Charge bursts,subtitles.entity.wind_charge.wind_burst
ウィッチが笑う,Witch giggles,subtitles.entity.witch.ambient
ウィッチが喜ぶ,Witch cheers,subtitles.entity.witch.celebrate
ウィッチが死ぬ,Witch dies,subtitles.entity.witch.death
ウィッチが飲む,Witch drinks,subtitles.entity.witch.drink
ウィッチがダメージを受ける,Witch hurts,subtitles.entity.witch.hurt
ウィッチが投げる,Witch throws,subtitles.entity.witch.throw
ウィザーが怒る,Wither angers,subtitles.entity.wither.ambient
ウィザーが死ぬ,Wither dies,subtitles.entity.wither.death
ウィザーがダメージを受ける,Wither hurts,subtitles.entity.wither.hurt
ウィザーが攻撃をする,Wither attacks,subtitles.entity.wither.shoot
ウィザーが攻撃を開始する,Wither released,subtitles.entity.wither.spawn
ウィザースケルトンが骨を鳴らす,Wither Skeleton rattles,subtitles.entity.wither_skeleton.ambient
ウィザースケルトンが死ぬ,Wither Skeleton dies,subtitles.entity.wither_skeleton.death
ウィザースケルトンがダメージを受ける,Wither Skeleton hurts,subtitles.entity.wither_skeleton.hurt
オオカミが息切れする,Wolf pants,subtitles.entity.wolf.ambient
オオカミが死ぬ,Wolf dies,subtitles.entity.wolf.death
オオカミが唸る,Wolf growls,subtitles.entity.wolf.growl
オオカミがダメージを受ける,Wolf hurts,subtitles.entity.wolf.hurt
オオカミが身震いをする,Wolf shakes,subtitles.entity.wolf.shake
ゾグリンが唸る,Zoglin growls,subtitles.entity.zoglin.ambient
ゾグリンが怒って唸る,Zoglin growls angrily,subtitles.entity.zoglin.angry
ゾグリンが攻撃をする,Zoglin attacks,subtitles.entity.zoglin.attack
ゾグリンが死ぬ,Zoglin dies,subtitles.entity.zoglin.death
ゾグリンがダメージを受ける,Zoglin hurts,subtitles.entity.zoglin.hurt
ゾグリンが歩く,Zoglin steps,subtitles.entity.zoglin.step
ゾンビがうめく,Zombie groans,subtitles.entity.zombie.ambient
ドアが叩かれる,Door shakes,subtitles.entity.zombie.attack_wooden_door
ドアが破壊される,Door breaks,subtitles.entity.zombie.break_wooden_door
ゾンビがドラウンドに変わる,Zombie converts to Drowned,subtitles.entity.zombie.converted_to_drowned
ゾンビが死ぬ,Zombie dies,subtitles.entity.zombie.death
カメの卵が踏み潰される,Turtle Egg stomped,subtitles.entity.zombie.destroy_egg
ゾンビがダメージを受ける,Zombie hurts,subtitles.entity.zombie.hurt
ゾンビが感染させる,Zombie infects,subtitles.entity.zombie.infect
ゾンビホースが鳴く,Zombie Horse cries,subtitles.entity.zombie_horse.ambient
ゾンビホースが死ぬ,Zombie Horse dies,subtitles.entity.zombie_horse.death
ゾンビホースがダメージを受ける,Zombie Horse hurts,subtitles.entity.zombie_horse.hurt
村人ゾンビがうめく,Zombie Villager groans,subtitles.entity.zombie_villager.ambient
村人ゾンビが叫ぶ,Zombie Villager vociferates,subtitles.entity.zombie_villager.converted
村人ゾンビが治療される,Zombie Villager snuffles,subtitles.entity.zombie_villager.cure
村人ゾンビが死ぬ,Zombie Villager dies,subtitles.entity.zombie_villager.death
村人ゾンビがダメージを受ける,Zombie Villager hurts,subtitles.entity.zombie_villager.hurt
ゾンビピグリンがうめく,Zombified Piglin grunts,subtitles.entity.zombified_piglin.ambient
ゾンビピグリンが怒ってうめく,Zombified Piglin grunts angrily,subtitles.entity.zombified_piglin.angry
